Stock,Security_type,Conversion,Board
"=""5102CA""",Call WARRANTS,4 for 1,STRCWARR
"=""5102CB""",Call WARRANTS,4.5 for 1,STRCWARR
"=""5102CC""",Call WARRANTS,5 for 1,STRCWARR
"=""5102CD""",Call WARRANTS,4.5 for 1,STRCWARR
"=""5102CE""",Call WARRANTS,4 for 1,STRCWARR
"=""0078CN""",Call WARRANTS,1.5 for 1,STRCWARR
"=""0580C1""",Call WARRANTS,15 for 1,STRCWARR
"=""471538""",Call WARRANTS,5 for 1,STRCWARR
"=""471539""",Call WARRANTS,5 for 1,STRCWARR
"=""471540""",Call WARRANTS,6 for 1,STRCWARR
"=""471541""",Call WARRANTS,5 for 1,STRCWARR
"=""471542""",Call WARRANTS,4.5 for 1,STRCWARR
"=""471543""",Call WARRANTS,5 for 1,STRCWARR
"=""471544""",Call WARRANTS,5 for 1,STRCWARR
"=""471545""",Call WARRANTS,5 for 1,STRCWARR
"=""471546""",Call WARRANTS,5 for 1,STRCWARR
"=""471547""",Call WARRANTS,4.5 for 1,STRCWARR
"=""471548""",Call WARRANTS,5.5 for 1,STRCWARR
"=""471549""",Call WARRANTS,4 for 1,STRCWARR
"=""471550""",Call WARRANTS,3 for 1,STRCWARR
"=""471551""",Call WARRANTS,4 for 1,STRCWARR
"=""471552""",Call WARRANTS,5 for 1,STRCWARR
"=""471553""",Call WARRANTS,5 for 1,STRCWARR
"=""471554""",Call WARRANTS,4 for 1,STRCWARR
"=""471555""",Call WARRANTS,4.8 for 1,STRCWARR
"=""2291CI""",Call WARRANTS,8 for 1,STRCWARR
"=""318251""",Call WARRANTS,5 for 1,STRCWARR
"=""318255""",Call WARRANTS,7 for 1,STRCWARR
"=""318256""",Call WARRANTS,7 for 1,STRCWARR
"=""318257""",Call WARRANTS,5 for 1,STRCWARR
"=""318258""",Call WARRANTS,7 for 1,STRCWARR
"=""318259""",Call WARRANTS,6 for 1,STRCWARR
"=""318260""",Call WARRANTS,5.5 for 1,STRCWARR
"=""318261""",Call WARRANTS,7 for 1,STRCWARR
"=""318262""",Call WARRANTS,4.8 for 1,STRCWARR
"=""318263""",Call WARRANTS,8 for 1,STRCWARR
"=""318264""",Call WARRANTS,6 for 1,STRCWARR
"=""0021CA""",Call WARRANTS,3 for 1,STRCWARR
"=""7022CR""",Call WARRANTS,4 for 1,STRCWARR
"=""7022CS""",Call WARRANTS,3.5 for 1,STRCWARR
"=""7022CT""",Call WARRANTS,3 for 1,STRCWARR
"=""7022CU""",Call WARRANTS,3.5 for 1,STRCWARR
"=""7022CV""",Call WARRANTS,4 for 1,STRCWARR
"=""7022CW""",Call WARRANTS,3.5 for 1,STRCWARR
"=""7668CG""",Call WARRANTS,6 for 1,STRCWARR
"=""3034CX""",Call WARRANTS,8 for 1,STRCWARR
"=""516811""",Call WARRANTS,4 for 1,STRCWARR
"=""516815""",Call WARRANTS,6.5 for 1,STRCWARR
"=""516816""",Call WARRANTS,7 for 1,STRCWARR
"=""516817""",Call WARRANTS,7 for 1,STRCWARR
"=""516818""",Call WARRANTS,7 for 1,STRCWARR
"=""516819""",Call WARRANTS,7 for 1,STRCWARR
"=""516820""",Call WARRANTS,6 for 1,STRCWARR
"=""516821""",Call WARRANTS,6 for 1,STRCWARR
"=""516822""",Call WARRANTS,5 for 1,STRCWARR
"=""516823""",Call WARRANTS,5 for 1,STRCWARR
"=""4324C1""",Call WARRANTS,16 for 1,STRCWARR
"=""4324C2""",Call WARRANTS,16 for 1,STRCWARR
"=""4324C3""",Call WARRANTS,17 for 1,STRCWARR
"=""4324C4""",Call WARRANTS,12 for 1,STRCWARR
"=""4324C5""",Call WARRANTS,20 for 1,STRCWARR
"=""4324C6""",Call WARRANTS,15 for 1,STRCWARR
