Stock,Stock Name,Stock Long Name,Board,Sector
"=""5073OR""",NAIM-OR,NAIM HOLDINGS BERHAD - ORDINARY RIGHTS,MAIN MARKET,PROPERTY
"=""5075""",PLENITU,PLENITUDE BHD,MAIN MARKET,PROPERTY
"=""5077""",MAYBULK,MALAYSIAN BULK CARRIERS BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5078""",M&G,MARINE & GENERAL BERHAD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5079""",GETS,GETS GLOBAL BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5080""",POHKONG,POH KONG HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5081""",EIG,ESTHETICS INTERNATIONAL GROUP,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5082""",CYMAO,CYMAO HOLDINGS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5084""",IBRACO,IBRACO BHD,MAIN MARKET,PROPERTY
"=""5085""",MUDAJYA,MUDAJAYA GROUP BHD,MAIN MARKET,CONSTRUCTION
"=""5087""",MYCRON,MYCRON STEEL BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5088""",APEX,APEX EQUITY HOLDINGS BHD,MAIN MARKET,FINANCIAL SERVICES
"=""5090""",MEDIAC,MEDIA CHINESE INTERNATIONAL LT,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""5094""",CSCSTEL,CSC STEEL HOLDINGS BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5095""",HEVEA,HEVEABOARD BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5095WB""",HEVEA-WB,HEVEABOARD BHD-WARRANTS 10/20,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5098""",MASTEEL,MALAYSIA STEEL WORKS (KL)BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5099""",AIRASIA,AIRASIA GROUP BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""509959""",AIRASIAC59,AIRASIAC59: CW AIRASIA GROUP BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509960""",AIRASIAC60,AIRASIAC60: CW AIRASIA GROUP BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509962""",AIRASIAC62,AIRASIAC62: CW AIRASIA GROUP BERHAD (MIBB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509965""",AIRASIAC65,AIRASIAC65: CW AIRASIA GROUP BERHAD (CIMB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509966""",AIRASIAC66,AIRASIAC66: CW AIRASIA GROUP BERHAD (AM),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509967""",AIRASIAC67,AIRASIAC67: CW AIRASIA GROUP BERHAD (CIMB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509968""",AIRASIAC68,AIRASIAC68: CW AIRASIA GROUP BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""509969""",AIRASIAC69,AIRASIAC69: CW AIRASIA GROUP BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
