Stock,Stock Name,Stock Long Name,Board,Sector
"=""521043""",ARMADA-C43,ARMADA-C43: CW BUMI ARMADA BERHAD (MIBB),STRCWARR,ENERGY
"=""521044""",ARMADA-C44,ARMADA-C44: CW BUMI ARMADA BERHAD (AM),STRCWARR,ENERGY
"=""521045""",ARMADA-C45,ARMADA-C45: CW BUMI ARMADA BERHAD (KIBB),STRCWARR,ENERGY
"=""521046""",ARMADA-C46,ARMADA-C46: CW BUMI ARMADA BERHAD (MIBB),STRCWARR,ENERGY
"=""521047""",ARMADA-C47,ARMADA-C47: CW BUMI ARMADA BERHAD (MACQ),STRCWARR,ENERGY
"=""521048""",ARMADA-C48,ARMADA-C48: CW BUMI ARMADA BERHAD (RHB),STRCWARR,ENERGY
"=""521049""",ARMADA-C49,ARMADA-C49: CW BUMI ARMADA BERHAD (KIBB),STRCWARR,ENERGY
"=""521050""",ARMADA-C50,ARMADA-C50: CW BUMI ARMADA BERHAD (MACQ),STRCWARR,ENERGY
"=""5211""",SUNWAY,SUNWAY BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5211CQ""",SUNWAY-CQ,SUNWAY-CQ: CW SUNWAY BERHAD (RHB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""5211CR""",SUNWAY-CR,SUNWAY-CR: CW SUNWAY BERHAD (KIBB),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""5211CS""",SUNWAY-CS,SUNWAY-CS: CW SUNWAY BERHAD (AM),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""5211WB""",SUNWAY-WB,SUNWAY BERHAD - WARRANTS 2017/2024,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5212""",PAVREIT,PAVILION REAL ESTATE INV TRUST,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5213""",SNTORIA,SENTORIA GROUP BERHAD,MAIN MARKET,PROPERTY
"=""5213WA""",SNTORIA-WA,SENTORIA GROUP BERHAD-WARRANTS A,MAIN MARKET,PROPERTY
"=""5213WB""",SNTORIA-WB,SENTORIA GROUP BERHAD-WARRANTS B 2018/2025,MAIN MARKET,PROPERTY
"=""5214""",CSL,CHINA STATIONERY LIMITED,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5216""",DSONIC,DATASONIC GROUP BERHAD,MAIN MARKET,TECHNOLOGY
"=""521610""",DSONIC-C10,DSONIC-C10: CW DATASONIC GROUP BERHAD (MIBB),STRCWARR,TECHNOLOGY
"=""5216WA""",DSONIC-WA,DATASONIC GROUP BERHAD - WARRANTS A 2018/2023,MAIN MARKET,TECHNOLOGY
"=""5218""",SAPNRG,SAPURA ENERGY BERHAD,MAIN MARKET,ENERGY
"=""521867""",SAPNRGC67,SAPNRGC67: CW SAPURA ENERGY BERHAD (MACQ),STRCWARR,ENERGY
"=""521868""",SAPNRGC68,SAPNRGC68: CW SAPURA ENERGY BERHAD (RHB),STRCWARR,ENERGY
"=""521869""",SAPNRGC69,SAPNRGC69: CW SAPURA ENERGY BERHAD (MACQ),STRCWARR,ENERGY
"=""521870""",SAPNRGC70,SAPNRGC70: CW SAPURA ENERGY BERHAD (MIBB),STRCWARR,ENERGY
"=""521871""",SAPNRGC71,SAPNRGC71: CW SAPURA ENERGY BERHAD (KIBB),STRCWARR,ENERGY
"=""521872""",SAPNRGC72,SAPNRGC72: CW SAPURA ENERGY BERHAD (MACQ),STRCWARR,ENERGY
"=""521873""",SAPNRGC73,SAPNRGC73: CW SAPURA ENERGY BERHAD (MACQ),STRCWARR,ENERGY
"=""521874""",SAPNRGC74,SAPNRGC74: CW SAPURA ENERGY BERHAD (KIBB),STRCWARR,ENERGY
"=""5219""",PESTECH,PESTECH INTERNATIONAL BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5219CF""",PESTECH-CF,PESTECH-CF: CW PESTECH INTERNATIONAL BERHAD (AM),STRCWARR,INDUSTRIAL PRODUCTS & SERVICES
"=""5220""",GLOTEC,GLOBALTEC FORMATION BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5220WA""",GLOTEC-WA,GLOBALTEC FORMATION BERHAD - WARRANTS 2018/2021,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5222""",FGV,FGV HOLDINGS BERHAD,MAIN MARKET,PLANTATION
"=""522252""",FGV-C52,FGV-C52: CW FGV HOLDINGS BERHAD (CIMB),STRCWARR,PLANTATION
"=""522254""",FGV-C54,FGV-C54: CW FGV HOLDINGS BERHAD (MIBB),STRCWARR,PLANTATION
"=""522255""",FGV-C55,FGV-C55: CW FGV HOLDINGS BERHAD (CIMB),STRCWARR,PLANTATION
"=""522256""",FGV-C56,FGV-C56: CW FGV HOLDINGS BERHAD (MACQ),STRCWARR,PLANTATION
"=""522257""",FGV-C57,FGV-C57: CW FGV HOLDINGS BERHAD (RHB),STRCWARR,PLANTATION
"=""522258""",FGV-C58,FGV-C58: CW FGV HOLDINGS BERHAD (CIMB),STRCWARR,PLANTATION
"=""522259""",FGV-C59,FGV-C59: CW FGV HOLDINGS BERHAD (MACQ),STRCWARR,PLANTATION
"=""522260""",FGV-C60,FGV-C60: CW FGV HOLDINGS BERHAD (KIBB),STRCWARR,PLANTATION
"=""522261""",FGV-C61,FGV-C61: CW FGV HOLDINGS BERHAD (MACQ),STRCWARR,PLANTATION
"=""522262""",FGV-C62,FGV-C62: CW FGV HOLDINGS BERHAD (RHB),STRCWARR,PLANTATION
"=""522263""",FGV-C63,FGV-C63: CW FGV HOLDINGS BERHAD (MACQ),STRCWARR,PLANTATION
"=""5223""",MENTIGA,MENTIGA CORPORATION BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5225""",IHH,IHH HEALTHCARE BERHAD,MAIN MARKET,HEALTH CARE
"=""522510""",IHH-C10,IHH-C10: CW IHH HEALTHCARE BERHAD (MACQ),STRCWARR,HEALTH CARE
"=""5225C7""",IHH-C7,IHH-C7: CW IHH HEALTHCARE BERHAD (CIMB),STRCWARR,HEALTH CARE
"=""5225C8""",IHH-C8,IHH-C8: CW IHH HEALTHCARE BERHAD (AM),STRCWARR,HEALTH CARE
"=""5225C9""",IHH-C9,IHH-C9: CW IHH HEALTHCARE BERHAD (RHB),STRCWARR,HEALTH CARE
"=""5226""",GBGAQRS,GABUNGAN AQRS BERHAD,MAIN MARKET,CONSTRUCTION
"=""5226WB""",GBGAQRS-WB,GABUNGAN AQRS BERHAD-WARRANTS B,MAIN MARKET,CONSTRUCTION
"=""5227""",IGBREIT,IGB REAL ESTATE INV TRUST,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5228""",ELKDESA,ELK-DESA RESOURCES BERHAD,MAIN MARKET,FINANCIAL SERVICES
"=""5228LA""",ELKDESA-LA,ELK-DESA RESOURCES BHD-ICULS 2014/2022,LOANS,FINANCIAL SERVICES
"=""5229""",CAP,CHINA AUTOMOBILE PARTS HLD LTD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5230""",TUNEPRO,TUNE PROTECT GROUP BERHAD,MAIN MARKET,FINANCIAL SERVICES
"=""5231""",PELIKAN,PELIKAN INT.CORPORATION BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5232""",LEONFB,LEON FUAT BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5234""",CLIQ,CLIQ ENERGY BERHAD,MAIN MARKET,SPECIAL PURPOSE ACQUISITION COMPANY
"=""5235SS""",KLCC,KLCC PROP&REITS-STAPLED SEC,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5236""",MATRIX,MATRIX CONCEPTS HOLDINGS BHD,MAIN MARKET,PROPERTY
"=""5236WA""",MATRIX-WA,MATRIX CONCEPTS HOLDINGS BERHAD - WARRANTS A,MAIN MARKET,PROPERTY
"=""5237""",MPHBCAP,MPHB Capital Berhad,MAIN MARKET,FINANCIAL SERVICES
"=""5238""",AAX,AIRASIA X BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""523818""",AAX-C18,AAX-C18: CW AIRASIA X BERHAD (AM),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""523819""",AAX-C19,AAX-C19: CW AIRASIA X BERHAD (KIBB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""523820""",AAX-C20,AAX-C20: CW AIRASIA X BERHAD (RHB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""523821""",AAX-C21,AAX-C21: CW AIRASIA X BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""5238WA""",AAX-WA,AIRASIA X BERHAD - WARRANTS  A  2015/2020,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5239""",TITIJYA,TITIJAYA LAND BERHAD,MAIN MARKET,PROPERTY
"=""5239PA""",TITIJYA-PA,TITIJAYA LAND BERHAD - ICPS 2017/2022,MAIN MARKET,PROPERTY
"=""5242""",SOLID,SOLID AUTOMOTIVE BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5242WA""",SOLID-WA,SOLID AUTOMOTIVE BERHAD - WARRANTS 2015/2020,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5243""",VELESTO,VELESTO ENERGY BERHAD,MAIN MARKET,ENERGY
"=""524324""",VELESTO-C24,VELESTO-C24: CW VELESTO ENERGY BERHAD (RHB),STRCWARR,ENERGY
"=""524325""",VELESTO-C25,VELESTO-C25: CW VELESTO ENERGY BERHAD (KIBB),STRCWARR,ENERGY
"=""524326""",VELESTO-C26,VELESTO-C26: CW VELESTO ENERGY BERHAD (MIBB),STRCWARR,ENERGY
"=""5243WA""",VELESTO-WA,VELESTO ENERGY BERHAD - WARRANTS 2017/2024,MAIN MARKET,ENERGY
"=""5245""",CARING,CARING PHARMACY GROUP BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5246""",WPRTS,WESTPORTS HOLDINGS BERHAD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5246CW""",WPRTS-CW,WPRTS-CW: CW WESTPORTS HOLDINGS BERHAD (CIMB),STRCWARR,TRANSPORTATION & LOGISTICS
"=""5246CX""",WPRTS-CX,WPRTS-CX: CW WESTPORTS HOLDINGS BERHAD (RHB),STRCWARR,TRANSPORTATION & LOGISTICS
"=""5246CY""",WPRTS-CY,WPRTS-CY: CW WESTPORTS HOLDINGS BERHAD (CIMB),STRCWARR,TRANSPORTATION & LOGISTICS
"=""5247""",KAREX,KAREX BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5248""",BAUTO,BERMAZ AUTO BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5248C1""",BAUTO-C1,BAUTO-C1: CW BERMAZ AUTO BERHAD (MACQ),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""5248CY""",BAUTO-CY,BAUTO-CY: CW BERMAZ AUTO BERHAD (KIBB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""5248CZ""",BAUTO-CZ,BAUTO-CZ: CW BERMAZ AUTO BERHAD (RHB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""5249""",IOIPG,IOI PROPERTIES GROUP BERHAD,MAIN MARKET,PROPERTY
"=""5249CU""",IOIPG-CU,IOIPG-CU: CW IOI PROPERTIES GROUP BERHAD (AM),STRCWARR,PROPERTY
"=""5249CV""",IOIPG-CV,IOIPG-CV: CW IOI PROPERTIES GROUP BERHAD (RHB),STRCWARR,PROPERTY
"=""5250""",SEM,7-ELEVEN MALAYSIA HOLDINGS BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5252""",SASBADI,SASBADI HOLDINGS BHD,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""5253""",ECONBHD,ECONPILE HOLDINGS BHD,MAIN MARKET,CONSTRUCTION
"=""5253WA""",ECONBHD-WA,ECONPILE HOLDINGS BERHAD - WARRANTS A 2018/2023,MAIN MARKET,CONSTRUCTION
"=""5254""",BPLANT,BOUSTEAD PLANTATIONS BHD,MAIN MARKET,PLANTATION
"=""5255""",ICON,ICON OFFSHORE BERHAD,MAIN MARKET,ENERGY
"=""5256""",REACH,REACH ENERGY BHD,MAIN MARKET,ENERGY
"=""5256WA""",REACH-WA,REACH ENERGY BHD-WARRANTS A 14/22,MAIN MARKET,ENERGY
"=""5257""",CARIMIN,CARIMIN PETROLEUM BERHAD,MAIN MARKET,ENERGY
"=""5258""",BIMB,BIMB HOLDINGS BHD,MAIN MARKET,FINANCIAL SERVICES
"=""5258WA""",BIMB-WA,BIMB HOLDINGS BERHAD-WA 13/23,MAIN MARKET,FINANCIAL SERVICES
"=""5259""",EATECH,E.A.TECHNIQUE (M) BERHAD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5260""",OWG,ONLY WORLD GROUP HOLDINGS BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5260WA""",OWG-WA,ONLY WORLD GROUP HOLDINGS BERHAD - WARRANTS A 2018/2023,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5263""",SUNCON,SUNWAY CONSTRUCTION GROUP BERHAD,MAIN MARKET,CONSTRUCTION
"=""5263CS""",SUNCON-CS,SUNCON-CS: CW SUNWAY CONSTRUCTION GROUP BERHAD (RHB),STRCWARR,CONSTRUCTION
"=""5263CT""",SUNCON-CT,SUNCON-CT: CW SUNWAY CONSTRUCTION GROUP BERHAD (KIBB),STRCWARR,CONSTRUCTION
"=""5263CU""",SUNCON-CU,SUNCON-CU: CW SUNWAY CONSTRUCTION GROUP BERHAD (MIBB),STRCWARR,CONSTRUCTION
"=""5263CV""",SUNCON-CV,SUNCON-CV: CW SUNWAY CONSTRUCTION GROUP BERHAD (AM),STRCWARR,CONSTRUCTION
"=""5264""",MALAKOF,MALAKOFF CORPORATION BERHAD,MAIN MARKET,UTILITIES
"=""526411""",MALAKOFC11,MALAKOFC11: CW MALAKOFF CORPORATION BERHAD (AM),STRCWARR,UTILITIES
"=""526412""",MALAKOFC12,MALAKOFC12: CW MALAKOFF CORPORATION BERHAD (MACQ),STRCWARR,UTILITIES
"=""526413""",MALAKOFC13,MALAKOFC13: CW MALAKOFF CORPORATION BERHAD (RHB),STRCWARR,UTILITIES
"=""526414""",MALAKOFC14,MALAKOFC14: CW MALAKOFF CORPORATION BERHAD (KIBB),STRCWARR,UTILITIES
"=""526415""",MALAKOFC15,MALAKOFC15: CW MALAKOFF CORPORATION BERHAD (CIMB),STRCWARR,UTILITIES
"=""526416""",MALAKOFC16,MALAKOFC16: CW MALAKOFF CORPORATION BERHAD (MACQ),STRCWARR,UTILITIES
"=""526417""",MALAKOFC17,MALAKOFC17: CW MALAKOFF CORPORATION BERHAD (MIBB),STRCWARR,UTILITIES
"=""526418""",MALAKOFC18,MALAKOFC18: CW MALAKOFF CORPORATION BERHAD (RHB),STRCWARR,UTILITIES
"=""5265""",DOLPHIN,DOLPHIN INTERNATIONAL BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5265WA""",DOLPHIN-WA,DOLPHIN INTERNATIONAL BERHAD-WARRANTS 2016/2021,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5267""",XINHWA,XIN HWA HOLDINGS BERHAD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5268""",IKHMAS,IKHMAS JAYA GROUP BERHAD,MAIN MARKET,CONSTRUCTION
"=""5269""",ALSREIT,AL-SALAM REAL ESTATE INVESTMENT TRUST,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5270""",RSENA,RED SENA BERHAD,MAIN MARKET,SPECIAL PURPOSE ACQUISITION COMPANY
"=""5271""",PECCA,PECCA GROUP BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5272""",RANHILL,RANHILL HOLDINGS BERHAD,MAIN MARKET,UTILITIES
"=""5273""",CHINHIN,CHIN HIN GROUP BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5274""",HLCAP,HONG LEONG CAPITAL BERHAD,MAIN MARKET,FINANCIAL SERVICES
"=""5275""",MYNEWS,MYNEWS HOLDINGS BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5276""",DANCO,DANCOMECH HOLDINGS BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5276WA""",DANCO-WA,DANCOMECH HOLDINGS BERHAD - WARRANTS  A  2017/2022,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5277""",FPGROUP,FOUNDPAC GROUP BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5278""",RHONEMA,RHONE MA HOLDINGS BERHAD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5279""",SERBADK,SERBA DINAMIK HOLDINGS BERHAD,MAIN MARKET,ENERGY
"=""5279CL""",SERBADK-CL,SERBADK-CL: CW SERBA DINAMIK HOLDINGS BERHAD (MACQ),STRCWARR,ENERGY
"=""5279CM""",SERBADK-CM,SERBADK-CM: CW SERBA DINAMIK HOLDINGS BERHAD (KIBB),STRCWARR,ENERGY
"=""5279CN""",SERBADK-CN,SERBADK-CN: CW SERBA DINAMIK HOLDINGS BERHAD (MACQ),STRCWARR,ENERGY
"=""5279CO""",SERBADK-CO,SERBADK-CO: CW SERBA DINAMIK HOLDINGS BERHAD (AM),STRCWARR,ENERGY
"=""5279CP""",SERBADK-CP,SERBADK-CP: CW SERBA DINAMIK HOLDINGS BERHAD (KIBB),STRCWARR,ENERGY
"=""5280""",KIPREIT,KIP REAL ESTATE INVESTMENT TRUST,MAIN MARKET,REAL ESTATE INVESTMENT TRUSTS
"=""5281""",ADVCON,ADVANCECON HOLDINGS BERHAD,MAIN MARKET,CONSTRUCTION
"=""5283""",EWINT,ECO WORLD INTERNATIONAL BERHAD,MAIN MARKET,PROPERTY
"=""5283CM""",EWINT-CM,EWINT-CM: CW ECO WORLD INTERNATIONAL BERHAD (MACQ),STRCWARR,PROPERTY
"=""5283WA""",EWINT-WA,ECO WORLD INTERNATIONAL BERHAD-WARRANTS 2017/2022,MAIN MARKET,PROPERTY
"=""5284""",LCTITAN,LOTTE CHEMICAL TITAN HOLDING BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5285""",SIMEPLT,SIME DARBY PLANTATION BERHAD,MAIN MARKET,PLANTATION
"=""5285CG""",SIMEPLT-CG,SIMEPLT-CG: CW SIME DARBY PLANTATION BERHAD (MIBB),STRCWARR,PLANTATION
"=""5285CH""",SIMEPLT-CH,SIMEPLT-CH: CW SIME DARBY PLANTATION BERHAD (MACQ),STRCWARR,PLANTATION
"=""5285CI""",SIMEPLT-CI,SIMEPLT-CI: CW SIME DARBY PLANTATION BERHAD (CIMB),STRCWARR,PLANTATION
"=""5286""",MI,MI EQUIPMENT HOLDINGS BERHAD,MAIN MARKET,TECHNOLOGY
"=""5286CA""",MI-CA,MI-CA: CW MI EQUIPMENT HOLDINGS BERHAD (RHB),STRCWARR,TECHNOLOGY
"=""5286CB""",MI-CB,MI-CB: CW MI EQUIPMENT HOLDINGS BERHAD (MACQ),STRCWARR,TECHNOLOGY
"=""5286CC""",MI-CC,MI-CC: CW MI EQUIPMENT HOLDINGS BERHAD (MACQ),STRCWARR,TECHNOLOGY
"=""5288""",SIMEPROP,SIME DARBY PROPERTY BERHAD,MAIN MARKET,PROPERTY
"=""5288CG""",SIMEPROP-CG,SIMEPROP-CG: CW SIME DARBY PROPERTY BERHAD (MIBB),STRCWARR,PROPERTY
"=""5288CH""",SIMEPROP-CH,SIMEPROP-CH: CW SIME DARBY PROPERTY BERHAD (MACQ),STRCWARR,PROPERTY
"=""5288CI""",SIMEPROP-CI,SIMEPROP-CI: CW SIME DARBY PROPERTY BERHAD (KIBB),STRCWARR,PROPERTY
"=""5288CJ""",SIMEPROP-CJ,SIMEPROP-CJ: CW SIME DARBY PROPERTY BERHAD (CIMB),STRCWARR,PROPERTY
"=""5288CK""",SIMEPROP-CK,SIMEPROP-CK: CW SIME DARBY PROPERTY BERHAD (RHB),STRCWARR,PROPERTY
"=""5289""",TECHBND,TECHBOND GROUP BERHAD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5347""",TENAGA,TENAGA NASIONAL BHD,MAIN MARKET,UTILITIES
"=""534744""",TENAGA-C44,TENAGA-C44: CW TENAGA NASIONAL BERHAD (CIMB),STRCWARR,UTILITIES
"=""534746""",TENAGA-C46,TENAGA-C46: CW TENAGA NASIONAL BERHAD (MACQ),STRCWARR,UTILITIES
"=""534747""",TENAGA-C47,TENAGA-C47: CW TENAGA NASIONAL BERHAD (MIBB),STRCWARR,UTILITIES
"=""534748""",TENAGA-C48,TENAGA-C48: CW TENAGA NASIONAL BERHAD (KIBB),STRCWARR,UTILITIES
"=""534749""",TENAGA-C49,TENAGA-C49: CW TENAGA NASIONAL BERHAD (MACQ),STRCWARR,UTILITIES
"=""534750""",TENAGA-C50,TENAGA-C50: CW TENAGA NASIONAL BERHAD (MACQ),STRCWARR,UTILITIES
"=""534751""",TENAGA-C51,TENAGA-C51: CW TENAGA NASIONAL BERHAD (CIMB),STRCWARR,UTILITIES
"=""534752""",TENAGA-C52,TENAGA-C52: CW TENAGA NASIONAL BERHAD (RHB),STRCWARR,UTILITIES
"=""5355""",DAIMAN,DAIMAN DEVELOPMENT BHD,MAIN MARKET,PROPERTY
"=""5371""",KIMHIN,KIM HIN INDUSTRY BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5398""",GAMUDA,GAMUDA BHD,MAIN MARKET,CONSTRUCTION
"=""539847""",GAMUDA-C47,GAMUDA-C47: CW GAMUDA BERHAD (CIMB),STRCWARR,CONSTRUCTION
"=""539848""",GAMUDA-C48,GAMUDA-C48: CW GAMUDA BERHAD (MIBB),STRCWARR,CONSTRUCTION
"=""539851""",GAMUDA-C51,GAMUDA-C51: CW GAMUDA BERHAD (MIBB),STRCWARR,CONSTRUCTION
"=""539852""",GAMUDA-C52,GAMUDA-C52: CW GAMUDA BERHAD (KIBB),STRCWARR,CONSTRUCTION
"=""539853""",GAMUDA-C53,GAMUDA-C53: CW GAMUDA BERHAD (CIMB),STRCWARR,CONSTRUCTION
"=""539854""",GAMUDA-C54,GAMUDA-C54: CW GAMUDA BERHAD (AM),STRCWARR,CONSTRUCTION
"=""539855""",GAMUDA-C55,GAMUDA-C55: CW GAMUDA BERHAD (MACQ),STRCWARR,CONSTRUCTION
"=""539856""",GAMUDA-C56,GAMUDA-C56: CW GAMUDA BERHAD (MACQ),STRCWARR,CONSTRUCTION
"=""539857""",GAMUDA-C57,GAMUDA-C57: CW GAMUDA BERHAD (CIMB),STRCWARR,CONSTRUCTION
"=""539858""",GAMUDA-C58,GAMUDA-C58: CW GAMUDA BERHAD (MACQ),STRCWARR,CONSTRUCTION
"=""539859""",GAMUDA-C59,GAMUDA-C59: CW GAMUDA BERHAD (CIMB),STRCWARR,CONSTRUCTION
"=""539860""",GAMUDA-C60,GAMUDA-C60: CW GAMUDA BERHAD (KIBB),STRCWARR,CONSTRUCTION
"=""539861""",GAMUDA-C61,GAMUDA-C61: CW GAMUDA BERHAD (MACQ),STRCWARR,CONSTRUCTION
"=""539862""",GAMUDA-C62,GAMUDA-C62: CW GAMUDA BERHAD (AM),STRCWARR,CONSTRUCTION
"=""5398WE""",GAMUDA-WE,GAMUDA BERHAD-WARRANTS E,MAIN MARKET,CONSTRUCTION
"=""5401""",TROP,TROPICANA CORPORATION BERHAD,MAIN MARKET,PROPERTY
"=""5401WA""",TROP-WA,TROPICANA CORP BHD-WA 09/19,MAIN MARKET,PROPERTY
"=""5436""",PERSTIM,PSAHAAN SADUR TIMAH MSIA,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5517""",SHANG,SHANGRI-LA HOTELS (M) BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5533""",OCB,OCB BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5568""",APB,APB RESOURCES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5576""",MINHO,MINHO (M) BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5576WC""",MINHO-WC,MINHO (M) BERHAD - WARRANT C,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5584""",YEELEE,YEE LEE CORPORATION BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5592""",GCE,GRAND CENTRAL ENTERPRISES BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5606""",IGBB,IGB BERHAD,MAIN MARKET,PROPERTY
"=""5606PA""",IGBB-PA,IGB BERHAD - REDEEMABLE CONVERTIBLE PREFERENCE SHARES (RCPS) 2015/2020,MAIN MARKET,PROPERTY
"=""5606PB""",IGBB-PB,IGB BERHAD - REDEEMABLE CONVERTIBLE CUMULATIVE PREFERENCE SHARES 2018/2025,MAIN MARKET,PROPERTY
"=""5614""",ILB,INTEGRATED LOGISTICS BHD,MAIN MARKET,TRANSPORTATION & LOGISTICS
"=""5622""",PEB,PIMPINAN EHSAN BERHAD,MAIN MARKET,CONSTRUCTION
"=""5649""",GPHAROS,GOLDEN PHAROS BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5657""",PARKSON,PARKSON HOLDINGS BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5665""",SSTEEL,SOUTHERN STEEL BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5665LB""",SSTEEL-LB,SOUTHERN STEEL BERHAD - RCULS 2015/2020,LOANS,INDUSTRIAL PRODUCTS & SERVICES
"=""5673""",IPMUDA,IPMUDA BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5681""",PETDAG,PETRONAS DAGANGAN BHD,MAIN MARKET,CONSUMER PRODUCTS & SERVICES
"=""5681CV""",PETDAG-CV,PETDAG-CV: CW PETRONAS DAGANGAN BHD (CIMB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""5681CW""",PETDAG-CW,PETDAG-CW: CW PETRONAS DAGANGAN BERHAD (RHB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""5681CX""",PETDAG-CX,PETDAG-CX: CW PETRONAS DAGANGAN BERHAD (CIMB),STRCWARR,CONSUMER PRODUCTS & SERVICES
"=""5703""",MUHIBAH,MUHIBBAH ENGINEERING (M) BHD,MAIN MARKET,CONSTRUCTION
"=""5738""",CHHB,COUNTRY HEIGHTS HOLDINGS BHD,MAIN MARKET,PROPERTY
"=""5738WB""",CHHB-WB,COUNTRY HEIGHTS HOLDINGS BERHAD - WARRANTS B,MAIN MARKET,PROPERTY
"=""5754""",UTUSAN,UTUSAN MELAYU (M) BHD,MAIN MARKET,TELECOMMUNICATIONS & MEDIA
"=""5789""",LBS,LBS BINA GROUP BHD,MAIN MARKET,PROPERTY
"=""5789PA""",LBS-PA,LBS BINA GROUP BERHAD - REDEEMABLE CONVERTIBLE PREFERENCE SHARES,MAIN MARKET,PROPERTY
"=""5789WB""",LBS-WB,LBS BINA GROUP BERHAD - WARRANTS B,MAIN MARKET,PROPERTY
"=""5797""",CHOOBEE,CHOO BEE METAL INDUSTRIES BHD,MAIN MARKET,INDUSTRIAL PRODUCTS & SERVICES
"=""5819""",HLBANK,HONG LEONG BANK BHD,MAIN MARKET,FINANCIAL SERVICES
